No;Kecamatan / Lokasi Kerja;Kota / Kabupaten;Tahun;Bulan;Tonase;Sampah Mudah Terurai;Kertas;Kayu;Kain;Plastik;Kulit / Karet;Logam;Kaca;B3 Domestik;Masker;Lain-Lain;Sort
1462;PASAR - CILANDAK;Kota Jakarta Selatan;2022;Mei;92,02;45,89;15,86;2,93;0,83;21,12;0,64;0,99;1,36;0,39;0,72;1,29;5
1463;PASAR - CILINCING;Kota Jakarta Utara;2022;Mei;198,54;99,01;34,23;6,31;1,79;45,56;1,39;2,14;2,94;0,83;1,55;2,78;5
1464;PASAR - CIPAYUNG;Kota Jakarta Timur;2022;Mei;105,28;52,50;18,15;3,35;0,95;24,16;0,74;1,14;1,56;0,44;0,82;1,47;5
1465;PASAR - CIRACAS;Kota Jakarta Timur;2022;Mei;175,86;87,70;30,32;5,59;1,58;40,36;1,23;1,90;2,60;0,74;1,37;2,46;5
1466;PASAR - DUREN SAWIT;Kota Jakarta Timur;2022;Mei;811,34;404,62;139,88;25,80;7,30;186,20;5,68;8,76;12,01;3,41;6,33;11,36;5
1467;PASAR - GAMBIR;Kota Jakarta Pusat;2022;Mei;135;67,32;23,27;4,29;1,22;30,98;0,95;1,46;2,00;0,57;1,05;1,89;5
1468;PASAR - GROGOL PETAMBURAN;Kota Jakarta Barat;2022;Mei;280,98;140,12;48,44;8,94;2,53;64,48;1,97;3,03;4,16;1,18;2,19;3,93;5
1469;PASAR - JAGAKARSA;Kota Jakarta Selatan;2022;Mei;230,7;115,05;39,77;7,34;2,08;52,95;1,61;2,49;3,41;0,97;1,80;3,23;5
1470;PASAR - JATINEGARA;Kota Jakarta Timur;2022;Mei;288,76;144,00;49,78;9,18;2,60;66,27;2,02;3,12;4,27;1,21;2,25;4,04;5
1471;PASAR - JOHAR BARU;Kota Jakarta Pusat;2022;Mei;16,3;8,13;2,81;0,52;0,15;3,74;0,11;0,18;0,24;0,07;0,13;0,23;5
1472;PASAR - KALIDERES;Kota Jakarta Barat;2022;Mei;47,02;23,45;8,11;1,50;0,42;10,79;0,33;0,51;0,70;0,20;0,37;0,66;5
1473;PASAR - KEBAYORAN BARU;Kota Jakarta Selatan;2022;Mei;278,7;138,99;48,05;8,86;2,51;63,96;1,95;3,01;4,12;1,17;2,17;3,90;5
1474;PASAR - KEBAYORAN LAMA;Kota Jakarta Selatan;2022;Mei;312,56;155,87;53,89;9,94;2,81;71,73;2,19;3,38;4,63;1,31;2,44;4,38;5
1475;PASAR - KEBON JERUK;Kota Jakarta Barat;2022;Mei;267,22;133,26;46,07;8,50;2,40;61,33;1,87;2,89;3,95;1,12;2,08;3,74;5
1476;PASAR - KELAPA GADING;Kota Jakarta Utara;2022;Mei;35,7;17,80;6,15;1,14;0,32;8,19;0,25;0,39;0,53;0,15;0,28;0,50;5
1477;PASAR - KEMAYORAN;Kota Jakarta Pusat;2022;Mei;148,96;74,29;25,68;4,74;1,34;34,19;1,04;1,61;2,20;0,63;1,16;2,09;5
1478;PASAR - KEMBANGAN;Kota Jakarta Barat;2022;Mei;296,48;147,85;51,11;9,43;2,67;68,04;2,08;3,20;4,39;1,25;2,31;4,15;5
1479;PASAR - KOJA;Kota Jakarta Utara;2022;Mei;437,02;217,94;75,34;13,90;3,93;100,30;3,06;4,72;6,47;1,84;3,41;6,12;5
1480;PASAR - KRAMAT JATI;Kota Jakarta Timur;2022;Mei;4990,24;2488,63;860,32;158,69;44,91;1145,26;34,93;53,89;73,86;20,96;38,92;69,86;5
1481;PASAR - MAKASAR;Kota Jakarta Timur;2022;Mei;236,62;118,00;40,79;7,52;2,13;54,30;1,66;2,56;3,50;0,99;1,85;3,31;5
1482;PASAR - MAMPANG PRAPATAN;Kota Jakarta Selatan;2022;Mei;70,92;35,37;12,23;2,26;0,64;16,28;0,50;0,77;1,05;0,30;0,55;0,99;5
1483;PASAR - MATRAMAN;Kota jakarta Timur;2022;Mei;114,08;56,89;19,67;3,63;1,03;26,18;0,80;1,23;1,69;0,48;0,89;1,60;5
1484;PASAR - PADEMANGAN;Kota Jakarta Utara;2022;Mei;296,44;147,83;51,11;9,43;2,67;68,03;2,08;3,20;4,39;1,25;2,31;4,15;5
1485;PASAR - PALMERAH;Kota Jakarta Barat;2022;Mei;28,92;14,42;4,99;0,92;0,26;6,64;0,20;0,31;0,43;0,12;0,23;0,40;5
1486;PASAR - PASAR MINGGU;Kota Jakarta Selatan;2022;Mei;440,76;219,81;75,99;14,02;3,97;101,15;3,09;4,76;6,52;1,85;3,44;6,17;5
1487;PASAR - PASAR REBO;Kota Jakarta Timur;2022;Mei;143,94;71,78;24,82;4,58;1,30;33,03;1,01;1,55;2,13;0,60;1,12;2,02;5
1488;PASAR - PENJARINGAN;Kota Jakarta Utara;2022;Mei;193,6;96,55;33,38;6,16;1,74;44,43;1,36;2,09;2,87;0,81;1,51;2,71;5
1489;PASAR - PESANGGRAHAN;Kota Jakarta Selatan;2022;Mei;55,16;27,51;9,51;1,75;0,50;12,66;0,39;0,60;0,82;0,23;0,43;0,77;5
1490;PASAR - PULOGADUNG;Kota Jakarta Timur;2022;Mei;302,98;151,10;52,23;9,63;2,73;69,53;2,12;3,27;4,48;1,27;2,36;4,24;5
1491;PASAR - SAWAH BESAR;Kota Jakarta Pusat;2022;Mei;225,8;112,61;38,93;7,18;2,03;51,82;1,58;2,44;3,34;0,95;1,76;3,16;5
1492;PASAR - SENEN;Kota Jakarta Pusat;2022;Mei;476,18;237,47;82,09;15,14;4,29;109,28;3,33;5,14;7,05;2,00;3,71;6,67;5
1493;PASAR - SETIABUDI;Kota Jakarta Selatan;2022;Mei;297,52;148,37;51,29;9,46;2,68;68,28;2,08;3,21;4,40;1,25;2,32;4,17;5
1494;PASAR - TAMANSARI;Kota Jakarta Barat;2022;Mei;555,56;277,06;95,78;17,67;5,00;127,50;3,89;6,00;8,22;2,33;4,33;7,78;5
1495;PASAR - TAMBORA;Kota Jakarta Barat;2022;Mei;355,84;177,46;61,35;11,32;3,20;81,67;2,49;3,84;5,27;1,49;2,78;4,98;5
1496;PASAR - TANAH ABANG;Kota Jakarta Pusat;2022;Mei;259,12;129,22;44,67;8,24;2,33;59,47;1,81;2,80;3,83;1,09;2,02;3,63;5
1497;PASAR - TANJUNG PRIOK;Kota Jakarta Pusat;2022;Mei;188,78;94,14;32,55;6,00;1,70;43,33;1,32;2,04;2,79;0,79;1,47;2,64;5
1498;PASAR - TEBET;Kota Jakarta Selatan;2022;Mei;203,14;101,31;35,02;6,46;1,83;46,62;1,42;2,19;3,01;0,85;1,58;2,84;5
1499;PASAR MINGGU;Kota Jakarta Selatan;2022;Mei;6250,6;3117,17;1077,60;198,77;56,26;1434,51;43,75;67,51;92,51;26,25;48,75;87,51;5
1500;PASAR REBO;Kota Jakarta Timur;2022;Mei;3488,36;1739,65;601,39;110,93;31,40;800,58;24,42;37,67;51,63;14,65;27,21;48,84;5
1501;PENJARINGAN;Kota Jakarta Utara;2022;Mei;6828,88;3405,56;1177,30;217,16;61,46;1567,23;47,80;73,75;101,07;28,68;53,27;95,60;5
1502;PESANGGRAHAN;Kota Jakarta Selatan;2022;Mei;4870,42;2428,88;839,66;154,88;43,83;1117,76;34,09;52,60;72,08;20,46;37,99;68,19;5
1503;PKLB3;Lembaga ;2022;Mei;4046,8;2018,14;697,67;128,69;36,42;928,74;28,33;43,71;59,89;17,00;31,57;56,66;5
1504;PULOGADUNG;Kota Jakarta Timur;2022;Mei;4953,78;2470,45;854,03;157,53;44,58;1136,89;34,68;53,50;73,32;20,81;38,64;69,35;5
1505;SAWAH BESAR;Kota Jakarta Pusat;2022;Mei;2042,16;1018,43;352,07;64,94;18,38;468,68;14,30;22,06;30,22;8,58;15,93;28,59;5
1506;SENEN;Kota Jakarta Pusat;2022;Mei;1683,24;839,43;290,19;53,53;15,15;386,30;11,78;18,18;24,91;7,07;13,13;23,57;5
1507;SETIABUDI;Kota Jakarta Selatan;2022;Mei;2621,42;1307,30;451,93;83,36;23,59;601,62;18,35;28,31;38,80;11,01;20,45;36,70;5
1508;TAMAN SARI;Kota Jakarta Barat;2022;Mei;3362,84;1677,05;579,75;106,94;30,27;771,77;23,54;36,32;49,77;14,12;26,23;47,08;5
1509;TAMBORA;Kota Jakarta Barat;2022;Mei;5351,32;2668,70;922,57;170,17;48,16;1228,13;37,46;57,79;79,20;22,48;41,74;74,92;5
1510;TANAH ABANG;Kota Jakarta Pusat;2022;Mei;2961,46;1476,88;510,56;94,17;26,65;679,66;20,73;31,98;43,83;12,44;23,10;41,46;5
1511;TANJUNG PRIOK;Kota Jakarta Utara;2022;Mei;7478,68;3729,62;1289,32;237,82;67,31;1716,36;52,35;80,77;110,68;31,41;58,33;104,70;5
1512;TEBET;Kota Jakarta Selatan;2022;Mei;3780,74;1885,46;651,80;120,23;34,03;867,68;26,47;40,83;55,95;15,88;29,49;52,93;5
1513;UPK BADAN AIR;Lembaga ;2022;Mei;8624,7;4301,14;1486,90;274,27;77,62;1979,37;60,37;93,15;127,65;36,22;67,27;120,75;5
1514;B2B;Lembaga ;2022;Juni;7907,44;3943,44;1363,24;251,46;71,17;1814,76;55,35;85,40;117,03;33,21;61,68;110,70;6
1515;BIDANG PENGENDALIAN KEBERSIHAN;Lembaga ;2022;Juni;1827,36;911,30;315,04;58,11;16,45;419,38;12,79;19,74;27,04;7,67;14,25;25,58;6
1516;CAKUNG;Kota Jakarta Timur;2022;Juni;9332,32;4654,03;1608,89;296,77;83,99;2141,77;65,33;100,79;138,12;39,20;72,79;130,65;6
1517;CEMPAKA PUTIH;Kota Jakarta Pusat;2022;Juni;1632,2;813,98;281,39;51,90;14,69;374,59;11,43;17,63;24,16;6,86;12,73;22,85;6
1518;CENGKARENG;Kota Jakarta Barat;2022;Juni;9422,48;4698,99;1624,44;299,63;84,80;2162,46;65,96;101,76;139,45;39,57;73,50;131,91;6
1519;CILANDAK;Kota Jakarta Selatan;2022;Juni;3681,22;1835,82;634,64;117,06;33,13;844,84;25,77;39,76;54,48;15,46;28,71;51,54;6
1520;CILINCING;Kota Jakarta Utara;2022;Juni;5689,2;2837,20;980,82;180,92;51,20;1305,67;39,82;61,44;84,20;23,89;44,38;79,65;6
1521;CIPAYUNG;Kota Jakarta Timur;2022;Juni;3688,2;1839,31;635,85;117,28;33,19;846,44;25,82;39,83;54,59;15,49;28,77;51,63;6
1522;CIRACAS;Kota Jakarta Timur;2022;Juni;4308,9;2148,85;742,85;137,02;38,78;988,89;30,16;46,54;63,77;18,10;33,61;60,32;6
1523;DUREN SAWIT;Kota Jakarta Timur;2022;Juni;6865,22;3423,69;1183,56;218,31;61,79;1575,57;48,06;74,14;101,61;28,83;53,55;96,11;6
1524;GAMBIR;Kota Jakarta Pusat;2022;Juni;2356,02;1174,95;406,18;74,92;21,20;540,71;16,49;25,45;34,87;9,90;18,38;32,98;6
1525;GROGOL PETAMBURAN;Kota Jakarta Barat;2022;Juni;4962,54;2474,82;855,54;157,81;44,66;1138,90;34,74;53,60;73,45;20,84;38,71;69,48;6
1526;JAGAKARSA;Kota Jakarta Selatan;2022;Juni;5335,96;2661,04;919,92;169,68;48,02;1224,60;37,35;57,63;78,97;22,41;41,62;74,70;6
1527;JATINEGARA;Kota Jakarta Timur;2022;Juni;5738,64;2861,86;989,34;182,49;51,65;1317,02;40,17;61,98;84,93;24,10;44,76;80,34;6
1528;JOHAR BARU;Kota Jakarta Pusat;2022;Juni;1711,3;853,43;295,03;54,42;15,40;392,74;11,98;18,48;25,33;7,19;13,35;23,96;6
1529;KALIDERES;Kota Jakarta Barat;2022;Juni;7337,92;3659,42;1265,06;233,35;66,04;1684,05;51,37;79,25;108,60;30,82;57,24;102,73;6
1530;KEBAYORAN BARU;Kota Jakarta Selatan;2022;Juni;5238,34;2612,36;903,09;166,58;47,15;1202,20;36,67;56,57;77,53;22,00;40,86;73,34;6
1531;KEBAYORAN LAMA;Kota Jakarta Selatan;2022;Juni;6238,1;3110,94;1075,45;198,37;56,14;1431,64;43,67;67,37;92,32;26,20;48,66;87,33;6
1532;KEBON JERUK;Kota Jakarta Barat;2022;Juni;2017,58;1006,17;347,83;64,16;18,16;463,03;14,12;21,79;29,86;8,47;15,74;28,25;6
1533;KEHUTANAN JAKARTA BARAT;Kota Jakarta Barat;2022;Juni;326,9;163,03;56,36;10,40;2,94;75,02;2,29;3,53;4,84;1,37;2,55;4,58;6
1534;KEHUTANAN JAKARTA PUSAT;Kota Jakarta Pusat;2022;Juni;271,76;135,53;46,85;8,64;2,45;62,37;1,90;2,94;4,02;1,14;2,12;3,80;6
1535;KELAPA GADING;Kota Jakarta Utara;2022;Juni;4177,72;2083,43;720,24;132,85;37,60;958,79;29,24;45,12;61,83;17,55;32,59;58,49;6
1536;KEMAYORAN;Kota Jakarta Pusat;2022;Juni;4435,9;2212,18;764,75;141,06;39,92;1018,04;31,05;47,91;65,65;18,63;34,60;62,10;6
1537;KEMBANGAN;Kota Jakarta Barat;2022;Juni;5281,16;2633,71;910,47;167,94;47,53;1212,03;36,97;57,04;78,16;22,18;41,19;73,94;6
1538;KEPULAUAN SERIBU;Kabupaten Kepulauan Seribu;2022;Juni;582,2;290,34;100,37;18,51;5,24;133,61;4,08;6,29;8,62;2,45;4,54;8,15;6
1539;KOJA;Kota Jakarta Utara;2022;Juni;3856,92;1923,45;664,93;122,65;34,71;885,16;27,00;41,65;57,08;16,20;30,08;54,00;6
1540;KRAMAT JATI;Kota Jakarta Timur;2022;Juni;3418,66;1704,89;589,38;108,71;30,77;784,58;23,93;36,92;50,60;14,36;26,67;47,86;6
1541;MAKASAR;Kota Jakarta Timur;2022;Juni;3103,14;1547,54;534,98;98,68;27,93;712,17;21,72;33,51;45,93;13,03;24,20;43,44;6
1542;MAMPANG PRAPATAN;Kota Jakarta Selatan;2022;Juni;3058,98;1525,51;527,37;97,28;27,53;702,04;21,41;33,04;45,27;12,85;23,86;42,83;6
1543;MATRAMAN;Kota Jakarta Timur;2022;Juni;2580,18;1286,74;444,82;82,05;23,22;592,15;18,06;27,87;38,19;10,84;20,13;36,12;6
1544;MENTENG;Kota Jakarta Pusat;2022;Juni;2478,12;1235,84;427,23;78,80;22,30;568,73;17,35;26,76;36,68;10,41;19,33;34,69;6
1545;Pademangan;Kota Jakarta Utara;2022;Juni;2850,84;1421,71;491,48;90,66;25,66;654,27;19,96;30,79;42,19;11,97;22,24;39,91;6
1546;PALMERAH;Kota Jakarta Barat;2022;Juni;4130,86;2060,06;712,16;131,36;37,18;948,03;28,92;44,61;61,14;17,35;32,22;57,83;6
1547;PANCORAN;Kota Jakarta Selatan;2022;Juni;4074,36;2031,88;702,42;129,56;36,67;935,07;28,52;44,00;60,30;17,11;31,78;57,04;6
1548;PASAR - CAKUNG;Kota Jakarta Timur;2022;Juni;181,78;90,65;31,34;5,78;1,64;41,72;1,27;1,96;2,69;0,76;1,42;2,54;6
1549;PASAR - CEMPAKA PUTIH;Kota Jakarta Pusat;2022;Juni;304,82;152,01;52,55;9,69;2,74;69,96;2,13;3,29;4,51;1,28;2,38;4,27;6
1550;PASAR - CENGKARENG;Kota Jakarta Barat;2022;Juni;140,38;70,01;24,20;4,46;1,26;32,22;0,98;1,52;2,08;0,59;1,09;1,97;6
1551;PASAR - CILANDAK;Kota Jakarta Selatan;2022;Juni;107,16;53,44;18,47;3,41;0,96;24,59;0,75;1,16;1,59;0,45;0,84;1,50;6
1552;PASAR - CILINCING;Kota Jakarta Utara;2022;Juni;196,96;98,22;33,96;6,26;1,77;45,20;1,38;2,13;2,92;0,83;1,54;2,76;6
1553;PASAR - CIPAYUNG;Kota Jakarta Timur;2022;Juni;103,56;51,65;17,85;3,29;0,93;23,77;0,72;1,12;1,53;0,43;0,81;1,45;6
1554;PASAR - CIRACAS;Kota Jakarta Timur;2022;Juni;130,14;64,90;22,44;4,14;1,17;29,87;0,91;1,41;1,93;0,55;1,02;1,82;6
1555;PASAR - DUREN SAWIT;Kota Jakarta Timur;2022;Juni;821,36;409,61;141,60;26,12;7,39;188,50;5,75;8,87;12,16;3,45;6,41;11,50;6
1556;PASAR - GAMBIR;Kota Jakarta Pusat;2022;Juni;163,24;81,41;28,14;5,19;1,47;37,46;1,14;1,76;2,42;0,69;1,27;2,29;6
1557;PASAR - GROGOL PETAMBURAN;Kota Jakarta Barat;2022;Juni;290,5;144,87;50,08;9,24;2,61;66,67;2,03;3,14;4,30;1,22;2,27;4,07;6
1558;PASAR - JAGAKARSA;Kota Jakarta Selatan;2022;Juni;242,64;121,00;41,83;7,72;2,18;55,69;1,70;2,62;3,59;1,02;1,89;3,40;6
1559;PASAR - JATINEGARA;Kota Jakarta Timur;2022;Juni;243,68;121,52;42,01;7,75;2,19;55,92;1,71;2,63;3,61;1,02;1,90;3,41;6
1560;PASAR - JOHAR BARU;Kota Jakarta Pusat;2022;Juni;13,18;6,57;2,27;0,42;0,12;3,02;0,09;0,14;0,20;0,06;0,10;0,18;6
1561;PASAR - KALIDERES;Kota Jakarta Barat;2022;Juni;27,34;13,63;4,71;0,87;0,25;6,27;0,19;0,30;0,40;0,11;0,21;0,38;6
1562;PASAR - KEBAYORAN BARU;Kota Jakarta Selatan;2022;Juni;305,82;152,51;52,72;9,73;2,75;70,19;2,14;3,30;4,53;1,28;2,39;4,28;6
1563;PASAR - KEBAYORAN LAMA;Kota Jakarta Selatan;2022;Juni;341,98;170,55;58,96;10,87;3,08;78,48;2,39;3,69;5,06;1,44;2,67;4,79;6
1564;PASAR - KEBON JERUK;Kota Jakarta Barat;2022;Juni;321,62;160,39;55,45;10,23;2,89;73,81;2,25;3,47;4,76;1,35;2,51;4,50;6
1565;PASAR - KELAPA GADING;Kota Jakarta Utara;2022;Juni;46,18;23,03;7,96;1,47;0,42;10,60;0,32;0,50;0,68;0,19;0,36;0,65;6
1566;PASAR - KEMAYORAN;Kota Jakarta Pusat;2022;Juni;217,9;108,67;37,57;6,93;1,96;50,01;1,53;2,35;3,22;0,92;1,70;3,05;6
1567;PASAR - KEMBANGAN;Kota Jakarta Barat;2022;Juni;297,88;148,55;51,35;9,47;2,68;68,36;2,09;3,22;4,41;1,25;2,32;4,17;6
1568;PASAR - KOJA;Kota Jakarta Utara;2022;Juni;396,54;197,75;68,36;12,61;3,57;91,01;2,78;4,28;5,87;1,67;3,09;5,55;6
1569;PASAR - KRAMAT JATI;Kota Jakarta Timur;2022;Juni;5007,12;2497,05;863,23;159,23;45,06;1149,13;35,05;54,08;74,11;21,03;39,06;70,10;6
1570;PASAR - MAKASAR;Kota Jakarta Timur;2022;Juni;203,38;101,43;35,06;6,47;1,83;46,68;1,42;2,20;3,01;0,85;1,59;2,85;6
1571;PASAR - MAMPANG PRAPATAN;Kota Jakarta Selatan;2022;Juni;79,86;39,83;13,77;2,54;0,72;18,33;0,56;0,86;1,18;0,34;0,62;1,12;6
1572;PASAR - MATRAMAN;Kota jakarta Timur;2022;Juni;94,12;46,94;16,23;2,99;0,85;21,60;0,66;1,02;1,39;0,40;0,73;1,32;6
1573;PASAR - PADEMANGAN;Kota Jakarta Utara;2022;Juni;295,32;147,28;50,91;9,39;2,66;67,78;2,07;3,19;4,37;1,24;2,30;4,13;6
1574;PASAR - PALMERAH;Kota Jakarta Barat;2022;Juni;36,22;18,06;6,24;1,15;0,33;8,31;0,25;0,39;0,54;0,15;0,28;0,51;6
1575;PASAR - PASAR MINGGU;Kota Jakarta Selatan;2022;Juni;466,1;232,44;80,36;14,82;4,19;106,97;3,26;5,03;6,90;1,96;3,64;6,53;6
1576;PASAR - PASAR REBO;Kota Jakarta Timur;2022;Juni;113,78;56,74;19,62;3,62;1,02;26,11;0,80;1,23;1,68;0,48;0,89;1,59;6
1577;PASAR - PENJARINGAN;Kota Jakarta Utara;2022;Juni;191,06;95,28;32,94;6,08;1,72;43,85;1,34;2,06;2,83;0,80;1,49;2,67;6
1578;PASAR - PESANGGRAHAN;Kota Jakarta Selatan;2022;Juni;48,76;24,32;8,41;1,55;0,44;11,19;0,34;0,53;0,72;0,20;0,38;0,68;6
1579;PASAR - PULOGADUNG;Kota Jakarta Timur;2022;Juni;296,3;147,76;51,08;9,42;2,67;68,00;2,07;3,20;4,39;1,24;2,31;4,15;6
1580;PASAR - SAWAH BESAR;Kota Jakarta Pusat;2022;Juni;232,14;115,77;40,02;7,38;2,09;53,28;1,62;2,51;3,44;0,97;1,81;3,25;6
1581;PASAR - SENEN;Kota Jakarta Pusat;2022;Juni;548,6;273,59;94,58;17,45;4,94;125,90;3,84;5,92;8,12;2,30;4,28;7,68;6
1582;PASAR - SETIABUDI;Kota Jakarta Selatan;2022;Juni;323,18;161,17;55,72;10,28;2,91;74,17;2,26;3,49;4,78;1,36;2,52;4,52;6
1583;PASAR - TAMANSARI;Kota Jakarta Barat;2022;Juni;585,42;291,95;100,93;18,62;5,27;134,35;4,10;6,32;8,66;2,46;4,57;8,20;6
1584;PASAR - TAMBORA;Kota Jakarta Barat;2022;Juni;360,38;179,72;62,13;11,46;3,24;82,71;2,52;3,89;5,33;1,51;2,81;5,05;6
1585;PASAR - TANAH ABANG;Kota Jakarta Pusat;2022;Juni;231,28;115,34;39,87;7,35;2,08;53,08;1,62;2,50;3,42;0,97;1,80;3,24;6
1586;PASAR - TANJUNG PRIOK;Kota Jakarta Pusat;2022;Juni;284,06;141,66;48,97;9,03;2,56;65,19;1,99;3,07;4,20;1,19;2,22;3,98;6
1587;PASAR - TEBET;Kota Jakarta Selatan;2022;Juni;192,18;95,84;33,13;6,11;1,73;44,11;1,35;2,08;2,84;0,81;1,50;2,69;6
1588;PASAR MINGGU;Kota Jakarta Selatan;2022;Juni;6286,24;3134,95;1083,75;199,90;56,58;1442,69;44,00;67,89;93,04;26,40;49,03;88,01;6
1589;PASAR REBO;Kota Jakarta Timur;2022;Juni;3616,98;1803,79;623,57;115,02;32,55;830,10;25,32;39,06;53,53;15,19;28,21;50,64;6
1590;PENJARINGAN;Kota Jakarta Utara;2022;Juni;7069,4;3525,51;1218,76;224,81;63,62;1622,43;49,49;76,35;104,63;29,69;55,14;98,97;6
1591;PESANGGRAHAN;Kota Jakarta Selatan;2022;Juni;4915,74;2451,48;847,47;156,32;44,24;1128,16;34,41;53,09;72,75;20,65;38,34;68,82;6
1592;PKLB3;Lembaga ;2022;Juni;4367,92;2178,28;753,03;138,90;39,31;1002,44;30,58;47,17;64,65;18,35;34,07;61,15;6
1593;PULOGADUNG;Kota Jakarta Timur;2022;Juni;5264,42;2625,37;907,59;167,41;47,38;1208,18;36,85;56,86;77,91;22,11;41,06;73,70;6
1594;SAWAH BESAR;Kota Jakarta Pusat;2022;Juni;2318,82;1156,40;399,76;73,74;20,87;532,17;16,23;25,04;34,32;9,74;18,09;32,46;6
1595;SENEN;Kota Jakarta Pusat;2022;Juni;1714,24;854,89;295,53;54,51;15,43;393,42;12,00;18,51;25,37;7,20;13,37;24,00;6
1596;SETIABUDI;Kota Jakarta Selatan;2022;Juni;2924,16;1458,28;504,13;92,99;26,32;671,09;20,47;31,58;43,28;12,28;22,81;40,94;6
1597;TAMAN SARI;Kota Jakarta Barat;2022;Juni;3426,02;1708,56;590,65;108,95;30,83;786,27;23,98;37,00;50,71;14,39;26,72;47,96;6
1598;TAMBORA;Kota Jakarta Barat;2022;Juni;6252,94;3118,34;1078,01;198,84;56,28;1435,05;43,77;67,53;92,54;26,26;48,77;87,54;6
1599;TANAH ABANG;Kota Jakarta Pusat;2022;Juni;3419,76;1705,43;589,57;108,75;30,78;784,83;23,94;36,93;50,61;14,36;26,67;47,88;6
1600;TANJUNG PRIOK;Kota Jakarta Utara;2022;Juni;7948,44;3963,89;1370,31;252,76;71,54;1824,17;55,64;85,84;117,64;33,38;62,00;111,28;6
1601;TEBET;Kota Jakarta Selatan;2022;Juni;4233,76;2111,38;729,90;134,63;38,10;971,65;29,64;45,72;62,66;17,78;33,02;59,27;6
1602;UPK BADAN AIR;Lembaga ;2022;Juni;7916,66;3948,04;1364,83;251,75;71,25;1816,87;55,42;85,50;117,17;33,25;61,75;110,83;6
1603;B2B;Lembaga ;2022;Juli;7413,32;3697,02;1278,06;235,74;66,72;1701,36;51,89;80,06;109,72;31,14;57,82;103,79;7
1604;BIDANG PENGENDALIAN KEBERSIHAN;Lembaga ;2022;Juli;1383,48;689,94;238,51;43,99;12,45;317,51;9,68;14,94;20,48;5,81;10,79;19,37;7
1605;CAKUNG;Kota Jakarta Timur;2022;Juli;9118,1;4547,20;1571,96;289,96;82,06;2092,60;63,83;98,48;134,95;38,30;71,12;127,65;7
1606;CEMPAKA PUTIH;Kota Jakarta Pusat;2022;Juli;1526,7;761,37;263,20;48,55;13,74;350,38;10,69;16,49;22,60;6,41;11,91;21,37;7
1607;CENGKARENG;Kota Jakarta Barat;2022;Juli;8927,14;4451,96;1539,04;283,88;80,34;2048,78;62,49;96,41;132,12;37,49;69,63;124,98;7
1608;CILANDAK;Kota Jakarta Selatan;2022;Juli;3499,12;1745,01;603,25;111,27;31,49;803,05;24,49;37,79;51,79;14,70;27,29;48,99;7
1609;CILINCING;Kota Jakarta Utara;2022;Juli;5384,84;2685,42;928,35;171,24;48,46;1235,82;37,69;58,16;79,70;22,62;42,00;75,39;7
1610;CIPAYUNG;Kota Jakarta Timur;2022;Juli;3493,46;1742,19;602,27;111,09;31,44;801,75;24,45;37,73;51,70;14,67;27,25;48,91;7
1611;CIRACAS;Kota Jakarta Timur;2022;Juli;4123,78;2056,53;710,94;131,14;37,11;946,41;28,87;44,54;61,03;17,32;32,17;57,73;7
1612;DUREN SAWIT;Kota Jakarta Timur;2022;Juli;6948,68;3465,31;1197,95;220,97;62,54;1594,72;48,64;75,05;102,84;29,18;54,20;97,28;7
1613;GAMBIR;Kota Jakarta Pusat;2022;Juli;2241,88;1118,03;386,50;71,29;20,18;514,51;15,69;24,21;33,18;9,42;17,49;31,39;7
1614;GROGOL PETAMBURAN;Kota Jakarta Barat;2022;Juli;5010,42;2498,70;863,80;159,33;45,09;1149,89;35,07;54,11;74,15;21,04;39,08;70,15;7
1615;JAGAKARSA;Kota Jakarta Selatan;2022;Juli;5067,4;2527,11;873,62;161,14;45,61;1162,97;35,47;54,73;75,00;21,28;39,53;70,94;7
1616;JATINEGARA;Kota Jakarta Timur;2022;Juli;5505,92;2745,80;949,22;175,09;49,55;1263,61;38,54;59,46;81,49;23,12;42,95;77,08;7
1617;JOHAR BARU;Kota Jakarta Pusat;2022;Juli;1658,86;827,27;285,99;52,75;14,93;380,71;11,61;17,92;24,55;6,97;12,94;23,22;7
1618;KALIDERES;Kota Jakarta Barat;2022;Juli;7245,78;3613,47;1249,17;230,42;65,21;1662,91;50,72;78,25;107,24;30,43;56,52;101,44;7
1619;KEBAYORAN BARU;Kota Jakarta Selatan;2022;Juli;5196,24;2591,36;895,83;165,24;46,77;1192,54;36,37;56,12;76,90;21,82;40,53;72,75;7
1620;KEBAYORAN LAMA;Kota Jakarta Selatan;2022;Juli;5967,48;2975,98;1028,79;189,77;53,71;1369,54;41,77;64,45;88,32;25,06;46,55;83,54;7
1621;KEBON JERUK;Kota Jakarta Barat;2022;Juli;2271,12;1132,61;391,54;72,22;20,44;521,22;15,90;24,53;33,61;9,54;17,71;31,80;7
1622;KEHUTANAN JAKARTA BARAT;Kota Jakarta Barat;2022;Juli;280,04;139,66;48,28;8,91;2,52;64,27;1,96;3,02;4,14;1,18;2,18;3,92;7
1623;KEHUTANAN JAKARTA PUSAT;Kota Jakarta Pusat;2022;Juli;220,66;110,04;38,04;7,02;1,99;50,64;1,54;2,38;3,27;0,93;1,72;3,09;7
1624;KELAPA GADING;Kota Jakarta Utara;2022;Juli;3951,38;1970,55;681,22;125,65;35,56;906,84;27,66;42,67;58,48;16,60;30,82;55,32;7
